Pick,Name,Year
26,Charles Smith,1997
27,Jacque Vaughn,1997
28,Keith Booth,1997
29,Serge Zwikker,1997
30,Mark Sanford,1997
31,Charles O'Bannon,1997
32,James Cotton,1997
34,Bubba Wells,1997
35,Kebu Stewart,1997
36,James Collins,1997
37,Marc Jackson,1997
38,Jerald Honeycutt,1997
39,Anthony Johnson,1997
40,Eddie Elisma,1997
41,Jason Lawson,1997
42,Stephen Jackson,1997
43,Gordon Malone,1997
44,Cedric Henderson,1997
45,God Shammgod,1997
46,Eric Washington,1997
47,Alvin Williams,1997
48,Predrag Drobnjak,1997
49,Alain Digbeu,1997
50,Chris Crawford,1997
51,DeJuan Wheat,1997
52,C.J. Bruton,1997
53,Paul Rogers,1997
54,Mark Blount,1997
55,Ben Pepper,1997
56,Nate Erdmann,1997
57,Roberto Duenas,1997
1,Allen Iverson,1996
2,Marcus Camby,1996
3,Shareef Abdur-Rahim,1996
4,Stephon Marbury,1996
5,Ray Allen,1996
6,Antoine Walker,1996
7,Lorenzen Wright,1996
8,Kerry Kittles,1996
9,Samaki Walker,1996
10,Erick Dampier,1996
11,Todd Fuller,1996
12,Vitaly Potapenko,1996
13,Kobe Bryant,1996
15,Steve Nash,1996
16,Tony Delk,1996
17,Jermaine O'Neal,1996
18,John Wallace,1996
19,Walter McCarty,1996
