Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Shabazz Napier,143,32.3,.411,4.8,.375,.813,4.0,4.5,1.8,0.2,2.4,13.7
Josh Huestis,135,25.0,.451,1.5,.319,.610,6.2,0.8,0.5,1.4,0.9,7.5
Joe Harris,15,10.1,.452,1.6,.375,.000,1.6,0.3,0.2,0.0,0.4,3.1
Cleanthony Early,75,26.2,.470,4.3,.348,.819,5.7,0.7,0.8,0.8,1.7,15.1
Jarnell Stokes,87,29.7,.530,0.0,.000,.628,9.6,1.5,0.7,1.1,2.1,13.0
DeAndre Daniels,99,23.8,.454,2.4,.349,.752,4.6,0.5,0.6,1.2,1.3,9.6
Spencer Dinwiddie,86,30.1,.420,3.5,.386,.830,3.3,2.6,1.1,0.3,1.8,13.0
Jerami Grant,72,21.9,.486,0.3,.300,.641,4.7,0.9,0.6,0.5,0.9,7.5
Glenn Robinson,62,35.1,.479,4.6,.385,.773,9.7,1.9,1.8,1.0,3.9,27.5
Nick Johnson,108,30.9,.421,3.7,.359,.734,3.7,2.8,1.3,0.6,1.8,12.3
Markel Brown,134,30.5,.439,3.1,.347,.733,4.3,2.3,1.0,0.8,1.8,12.4
Dwight Powell,136,26.2,.464,0.8,.289,.722,6.3,1.8,0.9,0.9,2.1,10.8
Jordan Clarkson,35,35.1,.448,3.3,.281,.831,3.8,3.4,1.1,0.2,2.7,17.5
Russ Smith,133,24.3,.413,3.9,.345,.760,2.7,2.8,1.9,0.1,2.4,14.3
Lamar Patterson,149,24.3,.435,3.1,.369,.723,3.9,2.9,1.0,0.3,1.6,9.5
Cameron Bairstow,134,20.8,.517,0.0,.333,.717,4.8,0.8,0.5,0.7,1.2,9.2
Alec Brown,126,29.3,.465,1.5,.400,.748,6.3,0.9,0.6,2.5,2.1,13.3
Semaj Christon,64,34.8,.462,1.2,.338,.670,2.8,4.4,1.4,0.2,3.1,16.2
Jordan McRae,114,27.1,.417,4.6,.343,.769,3.3,1.8,0.6,0.9,2.0,13.3
Xavier Thames,97,31.3,.393,3.3,.357,.829,2.9,3.3,1.2,0.2,1.9,12.7
Cory Jefferson,130,19.9,.543,0.4,.340,.660,5.6,0.4,0.3,1.3,0.8,8.9
Anthony Bennett,35,27.1,.533,2.7,.375,.701,8.1,1.0,0.7,1.2,1.9,16.1
Victor Oladipo,104,24.6,.538,1.4,.338,.716,5.2,1.7,1.5,0.5,2.0,10.7
Otto Porter,64,32.5,.498,2.4,.355,.751,7.1,2.1,1.5,0.9,1.3,12.8
Cody Zeller,72,29.0,.592,0.0,.000,.756,7.3,1.3,1.2,1.2,2.0,16.1
Alex Len,60,24.5,.538,0.2,.111,.663,7.0,0.8,0.2,2.1,1.6,9.7
Nerlens Noel,24,31.9,.590,0.0,nan,.529,9.5,1.6,2.1,4.4,1.9,10.5
Ben McLemore,37,32.2,.495,4.7,.420,.870,5.2,2.0,1.0,0.7,2.1,15.9
Kentavious Caldwell-Pope,64,33.0,.415,6.9,.339,.752,6.1,1.5,1.9,0.4,1.6,15.8
Trey Burke,73,35.7,.450,5.0,.367,.777,3.3,5.7,1.3,0.5,2.5,16.9
CJ McCollum,111,32.9,.439,5.2,.377,.825,6.3,2.7,2.1,0.5,2.4,21.3
Michael Carter-Williams,66,25.4,.398,2.1,.307,.679,3.6,5.2,2.0,0.4,2.3,8.2
Steven Adams,32,23.4,.571,0.0,nan,.443,6.3,0.6,0.7,2.0,1.1,7.2
