Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Magnum Rolle,64,29.2,.521,0.0,.500,.657,7.8,0.9,0.8,1.9,2.1,13.1
Luke Harangody,129,29.2,.476,1.0,.326,.782,9.5,1.6,0.8,0.7,1.8,19.2
Willie Warren,57,31.7,.459,4.9,.350,.788,2.6,3.5,1.1,0.1,2.8,15.2
Jeremy Evans,134,23.5,.639,0.2,.364,.684,5.9,0.5,0.6,1.7,1.0,7.9
Ryan Reid,126,20.2,.495,0.0,1.000,.604,3.9,0.7,0.5,0.6,1.6,5.0
Derrick Caracter,27,26.7,.567,0.6,.267,.672,8.1,1.1,1.0,0.9,2.9,14.1
Stanley Robinson,126,26.2,.485,1.7,.351,.646,6.2,1.0,0.6,1.0,1.7,9.8
Dwayne Collins,126,23.6,.565,0.0,nan,.563,7.0,0.9,0.7,0.7,1.8,9.9
Blake Griffin,68,30.9,.618,0.1,.300,.589,11.8,2.1,1.1,1.0,2.8,18.8
Hasheem Thabeet,100,29.3,.611,0.0,nan,.625,8.5,0.4,0.4,4.2,1.8,10.3
James Harden,69,35.0,.506,3.9,.376,.755,5.4,3.7,1.9,0.4,3.0,19.0
Tyreke Evans,37,29.0,.455,3.4,.274,.711,5.4,3.9,2.1,0.8,3.6,17.1
Stephen Curry,104,32.6,.467,9.7,.412,.876,4.5,3.7,2.1,0.3,3.0,25.3
Jordan Hill,97,27.0,.578,0.0,nan,.636,7.9,0.8,0.5,1.4,2.0,12.5
DeMar DeRozan,35,33.4,.523,1.0,.167,.646,5.7,1.5,0.9,0.4,2.1,13.9
Brandon Jennings,52,15.0,.448,0.8,.333,.771,2.6,0.6,0.5,0.0,0.6,3.3
Terrence Williams,140,32.2,.400,4.4,.320,.589,6.9,3.9,1.5,0.6,2.4,11.2
Gerald Henderson,103,32.9,.481,nan,nan,.627,3.2,2.5,2.1,0.3,4.2,15.0
Tyler Hansbrough,142,30.9,.536,0.3,.316,.791,8.6,1.1,1.3,0.5,2.1,20.2
Earl Clark,104,26.7,.467,1.8,.298,.640,7.0,1.7,0.9,1.2,2.1,10.6
Austin Daye,67,22.5,.477,2.2,.422,.790,5.8,1.0,0.7,1.9,1.9,11.6
James Johnson,127,33.7,.385,4.6,.370,.792,3.5,3.8,1.5,0.1,2.2,13.6
Jrue Holiday,35,27.1,.450,2.5,.307,.726,3.8,3.7,1.6,0.5,2.1,8.5
Ty Lawson,105,27.0,.517,2.6,.403,.780,2.9,5.8,1.8,0.1,2.1,13.1
Jeff Teague,61,30.9,.462,3.0,.421,.812,3.0,3.0,1.9,0.6,3.0,16.4
Eric Maynor,130,30.7,.449,3.0,.370,.791,3.4,5.2,1.3,0.2,2.4,15.0
Darren Collison,142,29.2,.475,2.7,.435,.851,2.3,4.1,1.6,0.1,2.4,11.5
Taj Gibson,105,32.7,.580,0.0,nan,.629,8.5,1.4,0.7,2.4,2.5,12.4
DeMarre Carroll,70,26.8,.549,0.9,.311,.624,6.9,1.8,1.4,0.7,1.5,14.9
Wayne Ellington,115,28.5,.463,5.0,.397,.809,4.1,2.2,0.9,0.1,1.5,14.7
Toney Douglas,99,33.8,.448,4.8,.376,.806,3.3,2.9,1.9,0.3,2.6,16.7
Jermaine Taylor,122,25.8,.466,5.5,.376,.764,3.9,1.4,0.9,0.4,2.2,16.2
Dante Cunningham,139,27.2,.524,0.0,.333,.693,5.9,1.0,1.2,0.8,1.8,9.6
DaJuan Summers,101,27.6,.439,4.1,.353,.727,4.4,1.3,1.0,0.6,2.2,11.2
Sam Young,143,25.5,.498,2.3,.356,.692,5.0,1.0,0.8,0.8,1.9,13.2
DeJuan Blair,72,26.6,.568,0.0,nan,.614,10.7,1.1,1.6,1.0,1.6,13.6
Jon Brockman,131,28.7,.534,0.0,.000,.612,9.8,1.0,0.8,0.1,2.1,13.8
Derrick Brown,106,25.0,.573,1.2,.415,.718,5.6,1.5,0.7,0.8,1.6,10.3
Jodie Meeks,81,27.7,.436,5.7,.386,.890,3.0,1.6,1.1,0.1,1.8,15.4
Patrick Beverley,70,34.1,.420,5.2,.382,.730,5.5,2.8,1.5,0.4,2.0,13.0
Marcus Thornton,66,32.7,.455,6.7,.382,.771,5.5,1.8,1.5,0.3,2.0,20.4
Chase Budinger,100,35.4,.469,5.0,.383,.782,5.8,2.8,1.3,0.4,2.1,17.0
Nick Calathes,72,33.0,.455,4.8,.380,.715,5.3,6.3,1.8,0.1,3.1,16.3
Danny Green,145,19.9,.455,3.4,.375,.845,4.1,1.8,1.1,1.1,1.4,9.4
Taylor Griffin,129,22.3,.468,0.5,.220,.721,4.8,1.0,0.9,0.8,1.4,6.6
Goran Suton,134,24.0,.521,0.5,.348,.753,6.6,1.6,0.8,0.7,1.8,8.1
Jack McClinton,95,31.7,.428,6.8,.440,.900,2.7,2.5,0.7,0.0,2.5,17.9
Robert Vaden,67,36.0,.402,10.1,.374,.810,4.2,2.3,1.0,0.4,2.7,19.3
Ahmad Nivins,126,33.0,.627,0.0,.000,.733,7.6,0.5,0.7,1.3,2.2,14.2
Lester Hudson,65,36.5,.456,9.5,.372,.858,7.9,4.4,2.6,0.6,3.6,26.6
Chinemelu Elonu,90,13.8,.633,0.0,nan,.578,4.4,0.2,0.2,0.9,1.1,5.1
Robert Dozier,148,25.0,.466,1.1,.312,.692,6.5,1.0,1.0,1.5,1.7,9.3
Derrick Rose,40,29.2,.477,2.6,.337,.712,4.5,4.7,1.2,0.4,2.7,14.9
Michael Beasley,33,31.5,.532,2.9,.379,.774,12.4,1.2,1.3,1.6,2.9,26.2
Russell Westbrook,75,21.9,.464,1.3,.354,.685,2.4,2.5,1.0,0.1,1.6,8.3
Kevin Love,39,29.6,.559,2.1,.354,.767,10.6,1.9,0.7,1.4,2.0,17.5
Eric Gordon,32,34.7,.433,6.5,.337,.834,3.3,2.4,1.3,0.6,3.6,20.9
Joe Alexander,82,25.3,.447,2.1,.295,.765,4.8,2.0,0.6,1.2,1.8,12.1
Brook Lopez,53,28.0,.480,0.4,.143,.764,7.1,1.1,0.5,1.9,2.1,16.0
Jerryd Bayless,30,35.7,.458,4.8,.407,.839,2.7,4.0,1.0,0.1,3.0,19.7
Jason Thompson,122,32.1,.526,0.8,.291,.667,9.6,2.0,0.9,1.9,2.6,16.7
Brandon Rush,109,31.3,.449,4.3,.435,.733,5.5,2.0,0.7,0.8,2.1,13.6
Anthony Randolph,31,32.8,.464,0.6,.105,.693,8.5,1.2,1.1,2.3,3.0,15.6
Robin Lopez,67,24.3,.511,0.0,.500,.612,5.6,0.8,0.3,2.3,1.6,9.0
Marreese Speights,69,15.4,.633,0.0,nan,.688,5.4,0.5,0.3,0.9,1.1,9.5
Roy Hibbert,136,23.3,.603,0.0,1.000,.680,5.9,1.3,0.4,1.9,1.5,10.9
JaVale McGee,66,18.7,.542,0.7,.356,.514,4.8,0.3,0.5,1.8,1.6,8.7
Ryan Anderson,66,33.0,.484,4.7,.396,.841,9.0,1.0,0.5,0.5,1.8,18.7
Courtney Lee,127,31.2,.464,4.8,.401,.817,5.2,2.2,1.9,0.6,2.5,17.6
Kosta Koufos,37,27.1,.508,1.7,.349,.680,6.7,0.5,0.4,1.8,1.5,14.4
George Hill,95,33.3,.529,2.3,.404,.785,5.8,3.3,1.6,0.3,2.5,17.0
Darrell Arthur,78,21.9,.541,0.2,.118,.676,5.5,0.6,0.7,1.4,1.6,11.3
Walter Sharpe,12,24.9,.523,0.3,.000,.523,6.8,1.7,1.2,1.8,2.8,14.2
Joey Dorsey,149,21.7,.614,0.0,nan,.420,8.1,0.5,1.1,1.8,1.3,6.7
Mario Chalmers,110,28.5,.486,3.9,.419,.767,2.8,3.8,2.6,0.4,2.4,12.2
DeAndre Jordan,35,20.1,.617,0.0,nan,.437,6.0,0.4,0.2,1.3,1.6,7.9
Kyle Weaver,121,29.8,.464,1.3,.277,.716,4.7,3.8,1.6,0.8,2.6,9.6
Sonny Weems,69,31.2,.473,3.7,.366,.767,4.6,2.3,1.3,0.3,2.7,13.3
Chris Douglas-Roberts,109,26.1,.540,1.8,.372,.725,3.7,1.7,1.0,0.4,2.0,14.2
Sean Singletary,123,32.8,.406,5.0,.362,.846,4.0,4.8,1.6,0.1,3.3,16.9
Patrick Ewing,143,30.8,.620,nan,nan,.635,9.2,0.9,1.2,3.4,2.3,15.3
Trent Plaisted,103,27.2,.535,0.0,nan,.547,6.7,1.2,0.4,1.0,2.1,13.3
Malik Hairston,117,31.2,.504,3.1,.395,.643,5.1,2.1,0.6,0.6,2.0,14.1
Richard Hendrix,95,28.4,.590,0.1,.231,.594,8.9,1.4,0.9,1.6,1.9,14.0
DeVon Hardin,101,22.1,.517,0.0,nan,.609,6.4,0.4,0.4,1.3,1.1,7.4
Shan Foster,132,30.2,.471,6.6,.421,.791,3.9,1.7,0.8,0.3,1.5,15.2
Darnell Jackson,125,16.6,.580,0.0,.333,.685,4.9,0.5,0.5,0.4,1.0,6.8
Maarty Leunen,127,27.9,.503,2.6,.397,.775,7.1,1.8,1.0,0.4,1.3,9.9
Mike Taylor,31,35.0,.376,6.9,.360,.682,4.1,4.5,1.1,0.1,5.4,16.0
Sasha Kaun,135,16.5,.568,0.0,nan,.512,3.9,0.3,0.4,1.1,0.8,6.1
James Gist,130,24.9,.506,0.7,.330,.696,6.0,1.1,0.9,1.8,1.8,10.9
Joe Crawford,127,25.3,.438,4.2,.350,.702,3.4,1.5,0.5,0.2,1.6,11.3
Deron Washington,128,29.3,.467,1.3,.294,.616,5.4,1.5,1.2,0.9,1.7,11.0
Greg Oden,32,28.9,.616,0.0,nan,.628,9.6,0.7,0.6,3.3,2.0,15.7
Kevin Durant,35,35.9,.473,5.8,.404,.816,11.1,1.3,1.9,1.9,2.8,25.8
Al Horford,109,25.7,.586,0.0,.000,.619,7.9,1.7,0.9,1.7,1.6,10.3
Mike Conley,39,31.6,.518,1.8,.304,.694,3.4,6.1,2.2,0.3,2.2,11.3
Jeff Green,102,33.2,.488,2.4,.359,.700,6.5,3.1,0.9,1.2,2.5,13.1
Corey Brewer,108,27.2,.480,2.6,.356,.708,4.3,2.8,1.6,0.4,2.3,11.3
Brandan Wright,37,27.4,.646,0.0,nan,.567,6.2,1.0,1.0,1.8,1.6,14.7
Joakim Noah,108,21.1,.616,0.0,.500,.684,6.4,1.7,0.9,1.7,1.8,10.5
Spencer Hawes,31,28.9,.532,0.1,.333,.755,6.4,1.9,0.5,1.7,2.5,14.9
Acie Law,122,30.8,.466,2.6,.357,.760,3.1,4.5,1.3,0.0,2.5,13.7
Thaddeus Young,31,29.6,.478,3.0,.419,.743,4.9,2.0,1.3,0.4,2.2,14.4
Julian Wright,71,24.1,.555,0.2,.188,.591,6.3,2.0,1.2,1.3,2.2,10.4
Al Thornton,124,22.0,.528,1.2,.438,.701,5.2,0.7,0.8,0.6,1.7,12.3
Rodney Stuckey,59,33.1,.472,5.2,.317,.806,4.7,4.8,2.3,0.3,3.5,24.4
Nick Young,96,31.1,.484,2.7,.368,.764,5.1,1.4,0.8,0.3,2.1,15.5
Sean Williams,69,20.5,.577,0.0,nan,.605,4.2,0.6,0.6,2.8,1.2,5.5
Javaris Crittenton,32,31.3,.450,3.2,.356,.783,3.7,5.8,2.0,0.1,3.9,14.4
Jason Smith,87,27.9,.548,0.3,.308,.751,7.9,2.0,0.5,1.7,3.1,14.7
Daequan Cook,39,19.7,.445,3.3,.415,.697,4.3,1.0,0.7,0.3,1.4,9.8
Jared Dudley,130,36.4,.504,2.5,.365,.731,7.2,3.0,1.4,0.3,2.1,15.9
Wilson Chandler,59,31.1,.445,2.6,.303,.659,7.1,1.2,0.7,1.5,1.8,12.9
Morris Almond,121,27.1,.492,2.9,.435,.824,3.5,1.0,0.7,0.5,2.2,15.1
Aaron Brooks,115,32.7,.430,4.8,.374,.834,3.5,4.1,1.1,0.1,2.6,13.1
Arron Afflalo,104,32.7,.457,5.4,.373,.781,3.5,1.9,0.6,0.2,2.0,14.8
Alando Tucker,134,32.1,.480,2.5,.307,.636,5.7,1.6,0.8,0.2,1.7,16.5
Carl Landry,64,29.9,.602,0.7,.233,.714,7.1,1.2,1.0,0.8,2.9,18.4
Gabe Pruitt,80,32.4,.438,5.7,.393,.778,3.1,3.5,2.0,0.2,2.4,13.8
Marcus Williams,70,27.9,.402,2.1,.375,.791,3.2,7.3,1.0,0.2,3.2,9.0
Nick Fazekas,131,30.1,.532,2.6,.341,.815,9.6,1.3,0.7,1.5,1.7,18.8
Glen Davis,95,32.0,.496,0.9,.310,.694,9.6,1.5,1.1,1.2,2.4,16.7
Jermareo Davidson,126,28.7,.467,0.2,.211,.717,7.3,1.0,0.5,1.8,1.5,10.1
Josh McRoberts,69,29.7,.540,0.5,.278,.664,6.5,2.4,1.2,1.9,1.9,10.8
Chris Richard,141,15.6,.665,0.0,nan,.631,3.2,0.3,0.3,0.4,1.0,4.9
Derrick Byars,64,31.5,.467,5.5,.400,.713,4.3,3.3,1.2,0.2,2.4,14.8
Adam Haluska,98,33.1,.430,5.9,.364,.846,4.4,2.1,1.2,0.2,1.7,16.1
Reyshawn Terry,126,14.4,.485,2.0,.419,.750,3.5,0.9,0.6,0.5,1.4,7.3
Jared Jordan,117,34.6,.446,4.0,.326,.702,4.8,6.9,1.4,0.1,2.8,13.1
Dominic McGuire,32,32.9,.471,2.1,.299,.586,9.8,3.3,0.9,3.6,3.7,13.5
Aaron Gray,113,20.9,.550,0.0,nan,.595,7.0,1.3,0.4,1.2,1.6,9.8
JamesOn Curry,101,32.0,.437,4.8,.404,.758,2.9,3.5,1.0,0.2,2.8,13.5
Taurean Green,111,29.2,.401,4.3,.389,.857,2.2,3.6,1.1,0.1,2.5,10.6
Demetris Nichols,123,25.8,.423,4.7,.358,.752,4.1,1.1,1.0,0.8,1.5,10.9
Herbert Hill,99,19.8,.614,0.0,.000,.566,5.2,0.9,0.8,1.9,1.6,9.7
Ramon Sessions,97,29.2,.417,0.8,.313,.740,4.2,4.9,1.2,0.1,2.6,8.8
Sammy Mejia,123,31.2,.457,2.9,.328,.659,4.8,3.2,1.0,0.2,2.2,12.1
LaMarcus Aldridge,53,30.2,.586,0.0,nan,.649,8.2,0.6,1.3,1.8,1.6,13.5
Adam Morrison,95,30.6,.503,3.7,.368,.761,5.1,2.0,0.7,0.4,1.7,19.7
Tyrus Thomas,32,25.9,.608,0.0,1.000,.657,9.2,1.3,1.0,3.1,1.8,12.3
Shelden Williams,139,28.1,.572,0.1,.333,.694,9.1,0.9,1.2,3.0,2.3,13.9
Brandon Roy,103,27.5,.512,1.5,.344,.765,5.0,3.0,1.0,0.5,2.1,14.3
Randy Foye,131,31.3,.399,4.9,.329,.781,4.8,3.2,1.5,0.4,2.9,15.0
Rudy Gay,64,29.8,.461,2.3,.378,.721,5.9,1.8,1.3,1.7,2.2,13.6
Hilton Armstrong,131,15.1,.563,0.0,.333,.578,3.9,0.6,0.3,1.5,1.2,4.7
Ronnie Brewer,90,33.0,.462,3.4,.340,.671,5.0,3.3,2.4,0.5,2.3,15.7
Cedric Simmons,63,18.9,.565,0.1,.500,.652,4.1,1.1,0.4,1.8,1.3,7.7
Rodney Carney,133,27.6,.415,6.0,.362,.717,4.9,1.2,1.0,1.0,1.4,14.3
Shawne Williams,36,27.8,.416,4.3,.312,.786,6.2,1.9,1.4,1.4,2.3,13.2
Quincy Douby,95,32.1,.432,6.8,.389,.820,2.9,2.7,1.3,0.7,2.2,17.8
Renaldo Balkman,104,21.1,.553,0.5,.291,.533,5.3,1.7,1.2,1.1,1.7,7.4
Rajon Rondo,68,28.1,.493,1.5,.283,.577,4.5,4.2,2.3,0.2,2.2,9.6
Marcus Williams,70,27.9,.402,2.1,.375,.791,3.2,7.3,1.0,0.2,3.2,9.0
Josh Boone,103,25.9,.578,0.0,nan,.559,7.0,0.8,0.5,2.2,1.3,9.3
Kyle Lowry,57,26.7,.449,0.7,.325,.737,3.8,3.0,1.9,0.2,1.9,9.5
Shannon Brown,97,28.0,.457,3.1,.364,.831,3.4,1.9,1.3,0.1,2.0,12.2
Jordan Farmar,66,32.2,.410,4.4,.333,.760,3.0,5.2,1.2,0.2,3.8,13.3
Maurice Ager,124,25.6,.441,4.3,.380,.775,3.4,1.5,0.5,0.3,1.7,12.5
Mardy Collins,125,37.5,.399,5.0,.292,.624,4.6,3.2,2.3,0.2,2.0,15.4
James White,93,29.3,.450,3.1,.347,.818,4.7,2.8,1.0,0.6,2.2,11.7
Steve Novak,126,27.0,.456,6.1,.461,.931,4.2,1.0,0.5,0.1,1.1,12.4
Solomon Jones,59,31.2,.505,0.0,.000,.693,8.0,1.0,0.6,2.6,2.7,9.8
Paul Davis,130,25.8,.538,0.4,.271,.763,7.0,1.4,1.1,0.7,2.1,13.2
Craig Smith,130,34.0,.558,0.5,.239,.643,8.6,1.9,1.3,0.8,2.3,18.1
Bobby Jones,92,nan,.608,nan,nan,.641,8.9,3.1,nan,nan,nan,13.7
David Noel,127,23.2,.532,1.4,.354,.587,4.3,1.9,1.1,0.5,1.7,6.9
Denham Brown,135,24.1,.429,2.7,.354,.776,3.9,1.3,0.7,0.2,1.5,9.4
James Augustine,137,27.1,.617,0.1,.333,.687,7.5,1.1,1.0,1.0,1.5,10.1
Daniel Gibson,68,33.0,.411,6.6,.387,.741,3.6,3.5,1.5,0.3,2.4,13.8
Alexander Johnson,92,21.0,.520,0.4,.308,.667,5.2,0.7,0.9,0.7,2.6,9.8
Dee Brown,108,29.0,.482,2.2,.366,.763,5.3,3.1,1.9,0.3,2.3,13.9
Paul Millsap,92,35.2,.577,0.2,.375,.620,12.7,0.9,1.3,2.0,2.4,18.6
Leon Powe,54,32.5,.492,0.2,.300,.672,9.8,1.1,0.8,0.6,2.2,17.8
Ryan Hollins,113,20.2,.575,0.0,1.000,.591,4.0,0.4,0.2,0.9,1.4,5.7
Hassan Adams,130,27.8,.499,1.9,.311,.704,5.4,2.0,1.8,0.7,2.0,14.0
Will Blalock,93,34.3,.421,2.9,.365,.719,3.1,5.0,1.9,0.1,2.5,11.6
Andrew Bogut,68,32.7,.603,0.5,.361,.674,11.1,2.3,0.7,1.6,2.7,16.6
Marvin Williams,36,22.2,.506,1.2,.432,.847,6.6,0.7,1.1,0.5,1.6,11.3
Deron Williams,101,31.7,.422,4.3,.374,.685,3.3,5.9,1.1,0.2,2.4,11.0
Chris Paul,63,33.5,.472,2.9,.470,.838,3.9,6.3,2.5,0.2,2.7,15.0
Raymond Felton,101,33.9,.423,4.6,.375,.731,4.1,6.9,1.9,0.3,3.6,12.5
Charlie Villanueva,63,22.3,.518,1.0,.393,.681,6.7,1.0,0.4,1.7,1.7,11.2
Channing Frye,133,27.7,.562,0.2,.261,.759,7.3,1.3,0.6,1.9,1.4,13.5
Ike Diogu,91,35.1,.571,1.2,.387,.786,8.8,1.2,0.4,1.7,3.4,21.4
Sean May,77,27.8,.513,0.1,.000,.717,10.0,1.5,1.3,1.2,2.4,15.8
Rashad McCants,98,29.2,.486,5.4,.415,.721,4.1,2.1,1.5,0.6,2.2,17.6
Antoine Wright,87,32.1,.412,5.5,.376,.648,5.6,2.1,1.1,0.6,2.3,15.4
Joey Graham,68,27.5,.549,1.2,.476,.819,5.7,1.6,0.8,0.2,2.4,15.0
Danny Granger,52,30.8,.510,3.4,.392,.757,8.9,2.3,1.8,1.8,2.5,19.1
Hakim Warrick,135,31.0,.536,0.3,.250,.659,7.6,1.5,1.0,0.9,2.3,15.4
Julius Hodge,129,33.0,.473,2.7,.329,.760,6.0,3.5,1.2,0.6,2.6,15.8
Nate Robinson,89,28.2,.457,4.1,.348,.793,3.9,3.2,1.6,0.1,2.0,14.4
Jarrett Jack,101,32.3,.478,2.6,.359,.796,4.5,5.4,1.8,0.1,3.3,12.5
Luther Head,128,25.4,.473,4.3,.382,.752,3.1,2.5,1.2,0.2,1.5,10.1
Jason Maxiell,129,27.6,.507,0.1,.286,.653,7.0,0.7,0.7,1.9,1.5,12.1
Linas Kleiza,49,28.7,.413,2.8,.287,.707,7.9,1.3,0.6,0.3,2.4,14.4
Wayne Simien,106,26.6,.558,0.2,.240,.784,8.3,0.9,0.7,0.7,1.7,15.0
David Lee,127,25.0,.581,0.0,.000,.681,6.8,2.0,0.9,0.9,2.1,11.3
Salim Stoudamire,129,29.8,.471,5.8,.458,.870,2.2,2.0,0.8,0.1,2.0,15.2
Daniel Ewing,138,27.7,.432,4.0,.392,.746,2.8,2.1,1.4,0.2,1.9,11.6
Brandon Bass,59,34.2,.540,0.8,.378,.780,8.2,0.7,0.8,1.8,1.8,15.1
Ronny Turiaf,127,25.5,.518,0.1,.222,.715,6.8,1.0,0.5,1.4,2.1,13.6
Travis Diener,120,31.4,.416,5.7,.413,.837,3.1,5.1,1.3,0.1,1.9,14.1
Von Wafer,61,21.6,.405,4.9,.365,.669,2.2,1.4,0.9,0.2,1.4,10.1
Chris Taft,65,26.0,.569,0.0,nan,.564,7.5,1.1,0.4,1.7,1.4,12.0
Lou Williams,5,nan,.353,0.8,.000,.643,0.6,1.0,0.2,0.0,nan,4.2
Erazem Lorbek,35,15.5,.534,0.7,.462,.649,3.3,0.6,0.6,0.5,1.1,6.4
Bracey Wright,85,35.7,.405,6.3,.350,.776,5.1,2.4,0.9,0.6,2.3,17.6
Ryan Gomes,116,35.1,.519,2.0,.352,.789,8.9,2.3,1.6,0.4,2.3,18.4
Robert Whaley,22,13.0,.348,0.0,.000,.660,2.5,0.6,0.3,0.4,1.1,5.8
Orien Greene,42,29.5,.413,4.5,.339,.737,4.6,3.6,2.6,0.3,2.9,11.1
Dijon Thompson,117,27.8,.464,3.1,.362,.781,4.7,2.0,1.1,0.3,2.4,12.5
Lawrence Roberts,62,32.3,.481,1.3,.296,.645,10.5,1.6,1.5,0.7,2.6,16.9
Amir Johnson,120,34.5,.389,3.7,.338,.668,4.0,5.0,1.6,0.1,3.3,10.2
Alex Acker,88,34.4,.457,3.3,.411,.823,5.6,2.8,1.5,0.4,2.6,14.5
Emeka Okafor,103,31.8,.590,0.0,nan,.564,10.6,0.8,0.9,4.3,2.0,13.8
Ben Gordon,106,31.0,.440,5.5,.423,.795,3.9,4.1,1.2,0.2,2.8,16.9
Devin Harris,96,35.0,.447,5.2,.375,.778,4.1,3.1,1.7,0.4,1.8,14.8
Josh Childress,86,28.6,.438,3.6,.335,.755,6.8,1.8,0.9,1.1,1.7,12.3
Luol Deng,37,31.1,.476,3.0,.360,.710,6.9,1.8,1.3,1.1,2.2,15.1
Andre Iguodala,62,25.4,.424,1.9,.274,.738,6.6,3.4,1.5,0.5,2.1,9.6
Luke Jackson,126,29.1,.461,3.4,.402,.849,5.9,3.4,1.3,0.3,2.3,15.6
Kris Humphries,29,34.1,.444,1.7,.340,.742,10.1,0.7,0.9,1.1,2.8,21.7
Kirk Snyder,84,30.8,.426,4.1,.310,.677,6.4,2.7,0.9,0.8,3.1,16.7
Josh Smith,4,7.5,.333,0.0,nan,.500,1.8,1.0,0.8,0.3,1.3,0.8
Jameer Nelson,125,34.5,.454,5.0,.365,.786,4.6,5.7,2.0,0.1,3.0,16.8
Delonte West,89,26.8,.489,3.4,.377,.831,4.2,3.0,1.4,0.2,2.0,13.9
Tony Allen,67,31.4,.477,2.2,.347,.682,5.5,2.9,2.0,0.8,2.8,15.3
Kevin Martin,79,31.8,.462,6.4,.346,.841,4.5,1.7,1.7,0.4,2.9,23.3
David Harrison,88,28.2,.601,0.0,.000,.553,8.0,0.6,0.6,2.6,2.4,15.0
Jackson Vroman,63,30.6,.558,0.2,.077,.512,9.5,2.1,1.2,1.1,2.8,13.2
Peter John Ramos,1,4.0,.000,nan,nan,nan,0.0,0.0,nan,nan,nan,0.0
Lionel Chalmers,123,31.7,.425,5.1,.372,.716,2.9,3.3,1.3,0.1,2.7,12.7
Andre Emmett,128,32.3,.500,1.4,.312,.703,6.0,1.6,1.3,0.3,1.9,17.6
Antonio Burks,91,30.6,.469,1.7,.401,.673,2.6,5.4,1.9,0.2,2.3,11.3
Royal Ivey,133,24.7,.455,1.2,.338,.709,3.1,2.3,0.9,0.2,1.5,7.8
Chris Duhon,144,33.4,.418,3.5,.321,.693,3.4,5.7,2.1,0.1,2.5,8.8
Justin Reed,122,28.7,.476,1.3,.285,.707,6.3,1.1,1.0,0.7,2.4,14.6
David Young,97,22.4,.412,4.1,.343,.728,2.1,3.4,1.2,0.4,2.0,7.7
Trevor Ariza,25,31.6,.426,3.0,.237,.504,6.5,2.1,1.7,0.4,3.2,11.6
Tim Pickett,62,31.4,.408,8.5,.367,.814,5.1,2.1,2.6,0.4,2.3,16.7
Bernard Robinson,120,30.6,.440,1.9,.297,.814,5.3,3.0,1.4,0.4,2.9,12.5
Pape Sow,72,32.4,.468,0.9,.294,.667,9.1,0.8,1.4,0.8,2.6,15.8
Ricky Minard,114,33.7,.488,5.3,.372,.796,6.4,3.7,2.1,0.6,3.0,20.9
Christian Drejer,38,22.8,.455,1.9,.378,.767,3.3,3.2,0.7,0.2,1.7,7.1
Romain Sato,130,36.2,.417,6.4,.367,.776,6.9,2.0,1.0,0.3,1.6,15.4
Matt Freije,121,28.7,.448,4.3,.355,.786,4.9,0.9,0.7,0.6,1.4,15.6
Rickey Paulding,131,31.8,.444,4.0,.367,.763,4.0,1.8,0.8,0.4,2.1,12.8
Luis Flores,90,37.1,.450,4.7,.386,.880,4.5,2.3,1.8,0.2,3.0,22.7
Marcus Douthit,122,21.0,.438,0.0,.000,.700,4.6,1.5,0.9,2.4,2.3,5.9
Blake Stepp,128,31.8,.417,5.9,.381,.813,3.9,5.0,1.2,0.1,2.7,13.0
Rashad Wright,119,34.4,.402,3.0,.341,.684,2.7,4.1,1.4,0.3,2.1,8.9
Carmelo Anthony,35,36.4,.453,4.7,.337,.706,10.0,2.2,1.6,0.9,2.2,22.2
Chris Bosh,31,31.0,.560,1.5,.478,.730,9.0,1.2,1.0,2.2,2.3,15.6
Dwyane Wade,65,30.7,.494,1.5,.333,.745,6.5,3.9,2.3,1.2,3.1,19.7
Chris Kaman,83,26.3,.608,0.0,nan,.713,8.5,0.8,0.5,2.2,3.1,15.1
Kirk Hinrich,141,29.7,.493,3.9,.430,.776,3.8,4.7,1.5,0.4,2.7,12.4
Mike Sweetney,96,29.0,.544,0.0,.000,.727,9.2,1.8,1.1,1.9,2.5,18.2
Jarvis Hayes,56,33.1,.474,4.9,.372,.775,4.8,1.8,1.2,0.5,1.8,18.4
Nick Collison,142,27.4,.562,0.5,.359,.624,8.0,1.8,1.1,1.7,2.4,14.8
Marcus Banks,63,34.3,.495,3.1,.330,.731,3.3,4.3,2.5,0.2,3.6,18.1
Luke Ridnour,96,33.6,.429,5.4,.389,.859,3.0,5.2,1.6,0.1,3.2,14.6
Reece Gaines,125,31.6,.452,4.7,.383,.750,3.4,3.8,1.5,0.2,2.7,15.6
Troy Bell,122,35.7,.424,6.6,.372,.868,4.0,3.5,2.2,0.3,2.9,21.6
Dahntay Jones,68,29.8,.485,2.5,.347,.740,4.8,1.0,1.0,0.5,1.8,14.3
Brian Cook,132,25.7,.510,2.1,.339,.793,6.2,1.3,0.7,1.0,2.0,13.2
Josh Howard,127,27.8,.483,2.4,.353,.708,6.6,1.9,1.7,1.1,2.2,13.9
Jason Kapono,127,34.0,.469,5.6,.446,.830,5.1,2.1,0.9,0.1,2.3,16.5
Luke Walton,129,27.2,.426,1.8,.284,.685,5.1,4.5,1.2,0.4,2.6,9.1
Mario Austin,91,31.2,.531,0.2,.353,.660,6.3,1.1,0.7,0.6,2.0,13.2
Travis Hansen,86,27.4,.434,2.4,.369,.774,4.8,1.7,0.7,0.4,2.0,13.2
